,state,date,trend
49,Colorado,2020-04-19,363.3531490345669
50,Colorado,2020-04-20,389.93058087186705
51,Colorado,2020-04-21,417.58887279726196
52,Colorado,2020-04-22,447.0411245639717
53,Colorado,2020-04-23,482.0687846182556
54,Colorado,2020-04-24,522.3455342146309
55,Colorado,2020-04-25,538.116193947781
56,Colorado,2020-04-26,528.1052649264361
57,Colorado,2020-04-27,506.5994587774982
58,Colorado,2020-04-28,483.4045868289583
59,Colorado,2020-04-29,460.5676063422851
60,Colorado,2020-04-30,439.16971972166203
61,Colorado,2020-05-01,421.05949880460963
62,Colorado,2020-05-02,415.4773063342451
63,Colorado,2020-05-03,421.87433077844037
64,Colorado,2020-05-04,432.21941037618893
65,Colorado,2020-05-05,441.2483333124339
66,Colorado,2020-05-06,441.10238656967744
67,Colorado,2020-05-07,430.2914822322721
68,Colorado,2020-05-08,411.3965393636427
69,Colorado,2020-05-09,389.2564970274443
70,Colorado,2020-05-10,365.208096182659
71,Colorado,2020-05-11,345.7779644159275
72,Colorado,2020-05-12,334.80188206866967
73,Colorado,2020-05-13,329.35980088214444
74,Colorado,2020-05-14,327.0111253919524
75,Colorado,2020-05-15,327.9051890258766
76,Colorado,2020-05-16,330.2934269231015
77,Colorado,2020-05-17,335.67731716353694
78,Colorado,2020-05-18,336.40621723007564
79,Colorado,2020-05-19,326.7450325787482
80,Colorado,2020-05-20,315.3908345363643
81,Colorado,2020-05-21,302.9194858865832
82,Colorado,2020-05-22,289.2571289618687
83,Colorado,2020-05-23,275.2484625026649
84,Colorado,2020-05-24,260.4242995252469
85,Colorado,2020-05-25,250.45908389507113
86,Colorado,2020-05-26,247.71095113255376
87,Colorado,2020-05-27,246.8963749360104
88,Colorado,2020-05-28,247.35124747143985
0,Connecticut,2020-03-01,-0.18617267021442097
1,Connecticut,2020-03-02,-0.14414902042208366
2,Connecticut,2020-03-03,-0.09696517834130058
3,Connecticut,2020-03-04,-0.04164132535373288
4,Connecticut,2020-03-05,0.029990816138866894
5,Connecticut,2020-03-06,0.1295492472823545
6,Connecticut,2020-03-07,0.27055056465631133
7,Connecticut,2020-03-08,0.46859481211220433
8,Connecticut,2020-03-09,0.7459248359528712
9,Connecticut,2020-03-10,1.1555668901317002
10,Connecticut,2020-03-11,1.792973020746996
11,Connecticut,2020-03-12,2.772105081496672
12,Connecticut,2020-03-13,4.230072377086209
13,Connecticut,2020-03-14,6.330553571421139
14,Connecticut,2020-03-15,9.264390223335116
15,Connecticut,2020-03-16,13.382801058724677
16,Connecticut,2020-03-17,18.98770215329451
17,Connecticut,2020-03-18,26.26928894178611
18,Connecticut,2020-03-19,35.501513353230905
19,Connecticut,2020-03-20,46.97924390871649
20,Connecticut,2020-03-21,61.865350969738074
21,Connecticut,2020-03-22,81.4989505339932
22,Connecticut,2020-03-23,106.38286578151386
23,Connecticut,2020-03-24,137.22225052891446
24,Connecticut,2020-03-25,172.9759667542975
25,Connecticut,2020-03-26,212.9411699784249
26,Connecticut,2020-03-27,258.2672264281061
27,Connecticut,2020-03-28,307.8970527601326
28,Connecticut,2020-03-29,359.00606635688797
29,Connecticut,2020-03-30,406.7296790784701
30,Connecticut,2020-03-31,449.1383573869625
31,Connecticut,2020-04-01,487.255773475385
32,Connecticut,2020-04-02,526.6641295381828
33,Connecticut,2020-04-03,571.8571708783936
34,Connecticut,2020-04-04,619.2836898119557
35,Connecticut,2020-04-05,672.6597042782956
36,Connecticut,2020-04-06,730.3598855895101
37,Connecticut,2020-04-07,782.7562539764818
38,Connecticut,2020-04-08,822.6236452558113
39,Connecticut,2020-04-09,847.4846552306842
40,Connecticut,2020-04-10,858.7910899060065
41,Connecticut,2020-04-11,863.1037436280147
42,Connecticut,2020-04-12,860.8134029384819
43,Connecticut,2020-04-13,857.5726434778504
44,Connecticut,2020-04-14,854.1007406883776
45,Connecticut,2020-04-15,853.4120175562421
46,Connecticut,2020-04-16,855.8449983610172
47,Connecticut,2020-04-17,857.1271095380191
48,Connecticut,2020-04-18,859.2038013224634
49,Connecticut,2020-04-19,863.5983324977053
50,Connecticut,2020-04-20,869.8140269147028
51,Connecticut,2020-04-21,865.8400507951457
52,Connecticut,2020-04-22,848.9531389285553
53,Connecticut,2020-04-23,813.5814630476217
54,Connecticut,2020-04-24,772.371418018155
55,Connecticut,2020-04-25,731.4784959500903
56,Connecticut,2020-04-26,694.2393247428469
57,Connecticut,2020-04-27,662.8682476980965
58,Connecticut,2020-04-28,642.8770819386784
59,Connecticut,2020-04-29,636.7102578710819
60,Connecticut,2020-04-30,640.348913982265
61,Connecticut,2020-05-01,642.6111142703461
62,Connecticut,2020-05-02,637.4849128281983
63,Connecticut,2020-05-04,625.9828810277244
64,Connecticut,2020-05-05,608.421628262436
65,Connecticut,2020-05-06,589.4592708172688
66,Connecticut,2020-05-07,571.1010005313886
67,Connecticut,2020-05-08,551.5273191935865
68,Connecticut,2020-05-09,533.4934208003326
69,Connecticut,2020-05-10,520.1370583871048
70,Connecticut,2020-05-11,514.0716124029514
71,Connecticut,2020-05-12,519.0434156771993
72,Connecticut,2020-05-13,529.4013752336185
73,Connecticut,2020-05-14,539.0535867685817
74,Connecticut,2020-05-15,543.1310527326876
75,Connecticut,2020-05-16,539.3320077664451
76,Connecticut,2020-05-17,525.807447149572
77,Connecticut,2020-05-18,501.9540079843307
78,Connecticut,2020-05-19,471.34915647203707
79,Connecticut,2020-05-20,442.51051008967255
80,Connecticut,2020-05-21,416.92629624600767
81,Connecticut,2020-05-22,399.19745950310096
82,Connecticut,2020-05-23,386.8606268976409
83,Connecticut,2020-05-24,377.31661538473367
84,Connecticut,2020-05-25,367.5925515320199
